station_id,cluster_id
1,5
2,1
3,0
4,4
5,3
6,2
7,4
8,6
9,6
10,0
11,2
12,1
13,2
14,6
15,1
16,2
17,2
18,5
19,6
20,5
21,5
22,0
23,0
24,0
25,2
26,2
27,5
28,0
29,0
30,1
31,0
32,6
33,6
34,3
35,0
36,5
37,2
38,0
39,5
40,0
41,2
42,0
43,5
44,1
45,1
47,2
48,0
49,6
50,0
51,2
52,2
53,2
54,2
55,2
56,5
57,2
58,6
59,1
60,0
61,1
62,0
63,2
64,0
65,6
66,6
67,6
68,6
69,3
70,2
71,2
72,4
73,4
74,4
75,4
76,4
77,0
78,1
79,1
80,4
82,4
83,4
84,4
85,4
86,0
87,4
88,4
89,2
90,6
91,6
92,0
93,4
94,4
95,4
96,4
97,4
98,2
99,2
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,2
114,5
115,0
116,1
117,2
