segment,scenario,model,feature,importance
weekday,cluster_only,RandomForest,num__cluster_demand_lag_24h,0.36158156913883127
weekday,cluster_only,RandomForest,num__cluster_demand_lag_1h,0.05045511091593927
weekday,cluster_only,RandomForest,num__cluster_id,0.007332185321538026
weekend,cluster_only,RandomForest,num__cluster_demand_lag_1h,0.3448833336691856
weekend,cluster_only,RandomForest,num__cluster_demand_lag_24h,0.07445178420140154
weekend,cluster_only,RandomForest,num__cluster_id,0.011901047308627836
weekday,events_only,RandomForest,num__days_to_next_event,0.015838148889448997
weekday,events_only,RandomForest,num__days_since_prev_event,0.010870775282899016
weekday,events_only,RandomForest,num__is_school_break,0.0003629994947458234
weekday,events_only,RandomForest,num__event_weight,0.00034220029062552855
weekday,events_only,RandomForest,num__is_public_holiday,0.0002448506046191916
weekday,events_only,RandomForest,num__is_major_event,0.0
weekend,events_only,RandomForest,num__days_to_next_event,0.019798462652265703
weekend,events_only,RandomForest,num__days_since_prev_event,0.013564196638626173
weekend,events_only,RandomForest,num__event_weight,0.0016111800523623465
weekend,events_only,RandomForest,num__is_school_break,0.0009892671013262315
weekend,events_only,RandomForest,num__is_major_event,0.0009814944718377432
weekend,events_only,RandomForest,num__is_public_holiday,0.0
weekday,full,RandomForest,num__cluster_demand_lag_24h,0.349207754186082
weekday,full,RandomForest,num__cluster_demand_lag_1h,0.04284658703760955
weekday,full,RandomForest,num__neighbor_mean_lag_24h,0.01754550974398012
weekday,full,RandomForest,num__neighbor_mean_lag_1h,0.017261162711481846
weekday,full,RandomForest,num__neighbor_sum_lag_1h,0.017248255386198126
weekday,full,RandomForest,num__neighbor_sum_lag_24h,0.01715910738589519
weekday,full,RandomForest,num__days_to_next_event,0.009335816770663434
weekday,full,RandomForest,num__days_since_prev_event,0.007122079017978146
weekday,full,RandomForest,num__cluster_id,0.006821750567921729
weekday,full,RandomForest,num__neighbor_peak_ratio_lag_24h,0.0009583447271329146
weekday,full,RandomForest,num__is_school_break,0.00024516224881956515
weekday,full,RandomForest,num__event_weight,0.0002301172275961125
weekday,full,RandomForest,num__is_public_holiday,0.00015937560184350178
weekday,full,RandomForest,num__is_major_event,0.0
weekend,full,RandomForest,num__cluster_demand_lag_1h,0.32771806791810726
weekend,full,RandomForest,num__cluster_demand_lag_24h,0.060392552233750424
weekend,full,RandomForest,num__neighbor_sum_lag_1h,0.029566112073293044
weekend,full,RandomForest,num__neighbor_mean_lag_1h,0.02938043304415602
weekend,full,RandomForest,num__neighbor_sum_lag_24h,0.02679240978131931
weekend,full,RandomForest,num__neighbor_mean_lag_24h,0.02615960391778778
weekend,full,RandomForest,num__days_to_next_event,0.013321882896179433
weekend,full,RandomForest,num__cluster_id,0.010460324338696047
weekend,full,RandomForest,num__days_since_prev_event,0.009391718186738588
weekend,full,RandomForest,num__event_weight,0.0009116421258097529
weekend,full,RandomForest,num__is_school_break,0.0007918406681648389
weekend,full,RandomForest,num__is_major_event,0.0005142197718195519
weekend,full,RandomForest,num__neighbor_peak_ratio_lag_24h,4.5426909695857016e-05
weekend,full,RandomForest,num__is_public_holiday,0.0
weekday,neighbor_only,RandomForest,num__neighbor_sum_lag_24h,0.027731714865040436
weekday,neighbor_only,RandomForest,num__neighbor_mean_lag_24h,0.02733772120069185
weekday,neighbor_only,RandomForest,num__neighbor_sum_lag_1h,0.0241724430939579
weekday,neighbor_only,RandomForest,num__neighbor_mean_lag_1h,0.02392814522483398
weekday,neighbor_only,RandomForest,num__neighbor_peak_ratio_lag_24h,0.0005291883408170548
weekend,neighbor_only,RandomForest,num__neighbor_mean_lag_1h,0.04518188918042343
weekend,neighbor_only,RandomForest,num__neighbor_sum_lag_1h,0.044477250743659665
weekend,neighbor_only,RandomForest,num__neighbor_sum_lag_24h,0.0350877838489525
weekend,neighbor_only,RandomForest,num__neighbor_mean_lag_24h,0.03438373478154746
weekend,neighbor_only,RandomForest,num__neighbor_peak_ratio_lag_24h,5.593579616525205e-05
